"academica","personal","economica","institucional","deserta"
"1",2,1,2,2,0
"2",2,1,2,2,0
"3",3,1,4,2,0
"4",2,2,2,2,1
"5",3,1,2,2,0
"6",2,1,0,3,1
"7",2,1,2,2,0
"8",2,1,2,2,0
"9",2,1,2,3,0
"10",2,1,2,2,0
"11",2,1,2,3,1
"12",3,1,2,2,0
"13",2,2,0,3,1
"14",2,1,2,2,0
"15",2,1,1,3,0
"16",2,1,2,3,1
"17",3,2,2,2,0
"18",2,1,0,3,1
"19",2,1,2,3,0
"20",2,1,1,2,0
"21",3,1,2,2,0
"22",2,1,2,2,0
"23",2,1,1,3,0
"24",2,1,2,2,1
"25",2,1,2,3,0
"26",2,1,2,2,1
"27",2,2,0,2,1
"28",2,1,2,2,0
"29",2,2,2,2,1
"30",2,2,2,2,0
"31",2,1,2,3,1
"32",2,2,1,2,0
"33",3,1,2,1,1
"34",2,1,2,2,0
"35",2,1,3,2,0
"36",2,1,2,2,0
"37",2,1,1,2,0
"38",2,1,1,2,1
"39",0,1,0,3,1
"40",2,2,2,2,1
"41",2,1,1,2,0
"42",2,1,2,3,0
"43",2,1,0,3,1
"44",2,1,2,2,0
"45",3,1,2,2,1
"46",2,1,1,2,0
"47",2,1,1,2,0
"48",2,1,2,1,0
"49",2,1,1,3,0
"50",2,2,2,3,1
"51",3,1,1,2,1
"52",2,2,3,3,0
"53",2,1,3,2,0
"54",2,1,2,3,1
"55",2,1,2,2,0
"56",2,1,2,2,0
"57",3,1,2,2,0
"58",3,1,2,2,0
"59",2,2,2,2,1
"60",2,1,2,3,1
"61",3,1,2,2,0
"62",2,2,3,3,1
"63",2,1,1,3,1
"64",2,1,2,3,1
"65",2,2,2,2,1
"66",2,2,2,3,1
"67",2,1,1,2,1
"68",2,2,2,2,0
"69",2,2,2,2,1
"70",2,2,2,2,1
"71",2,2,2,2,0
"72",2,1,1,2,0
"73",2,1,1,3,0
"74",2,1,2,1,0
"75",2,1,1,2,0
"76",2,1,1,1,0
"77",2,1,1,2,0
"78",0,1,2,2,0
"79",3,1,2,2,0
"80",2,1,2,3,0
"81",2,2,2,3,0
"82",3,2,2,3,1
"83",2,1,1,3,1
"84",2,2,2,3,1
"85",3,1,1,3,1
"86",2,1,0,3,0
"87",2,1,1,2,0
"88",2,2,1,2,0
"89",2,1,1,2,0
"90",2,2,2,3,1
"91",2,1,0,1,0
"92",2,1,1,3,1
"93",2,1,2,1,0
